"agg_grp"	"year"	"month"	"day"	"stationid"	"subregion_depth"	"subregion_alongshore"	"use_pop_den_no_m2"	"use_biomass_den_kg_m2"	"depth_m"	"biomass_den_kg.m3"	"pop_den_no.m3"	"decslat_ctr"	"decslon_ctr"
"large jellyfish"	2003	10	13	21	"2_shelf"	"1_Tex"	0	0	51.9	0	0	26.649	-96.8455
"large jellyfish"	2003	10	13	23	"2_shelf"	"1_Tex"	0	0	63.6	0	0	26.597	-96.7255
"large jellyfish"	2003	10	13	24	"2_shelf"	"1_Tex"	0	0	51.6	0	0	26.7705	-96.9035
"large jellyfish"	2003	10	13	26	"2_shelf"	"1_Tex"	0	0	100.8	0	0	26.836	-96.623
"large jellyfish"	2003	10	13	28	"2_shelf"	"1_Tex"	0	0	92	0	0	26.9915	-96.6655
"large jellyfish"	2003	10	14	29	"2_shelf"	"1_Tex"	0	0	84	0	0	26.8625	-96.7275
"large jellyfish"	2003	10	14	30	"2_shelf"	"1_Tex"	0	0	101.7	0	0	26.749	-96.601
"large jellyfish"	2003	10	14	32	"2_shelf"	"1_Tex"	0	0	92.5	0	0	27.13	-96.6205
"large jellyfish"	2003	10	14	34	"2_shelf"	"1_Tex"	0	0	72.8	0	0	27.136	-96.748
"large jellyfish"	2003	10	14	35	"2_shelf"	"1_Tex"	0	0	66	0	0	27.1405	-96.8035
"large jellyfish"	2003	10	14	36	"2_shelf"	"1_Tex"	0	0	71.7	0	0	27.053	-96.777
"large jellyfish"	2003	10	14	37	"2_shelf"	"1_Tex"	0	0	41	0	0	27.0555	-97.0215
"large jellyfish"	2003	10	14	38	"1_inshore"	"1_Tex"	0	0	14	0	0	27.2345	-97.3285
"large jellyfish"	2003	10	15	39	"1_inshore"	"1_Tex"	0	0	15	0	0	27.138	-97.339
"large jellyfish"	2003	10	15	40	"1_inshore"	"1_Tex"	0.999858319067209	0.341951545120986	19.9	6.80483574790762	19.8971805494375	27.2825	-97.2545
"large jellyfish"	2003	10	15	41	"1_inshore"	"1_Tex"	0	0	15.5	0	0	27.3545	-97.265
"large jellyfish"	2003	10	15	42	"2_shelf"	"1_Tex"	0.965380445995926	0.330160112530607	23	7.59368258820396	22.2037502579063	27.349	-97.2095
"large jellyfish"	2003	10	15	43	"2_shelf"	"1_Tex"	2.99957495720163	1.02585463536296	26	26.672220519437	77.9889488872424	27.3515	-97.151
"large jellyfish"	2003	10	15	44	"2_shelf"	"1_Tex"	0	0	36	0	0	27.184	-97.0535
"large jellyfish"	2003	10	15	45	"2_shelf"	"1_Tex"	0	0	21.2	0	0	27.456	-97.154
"large jellyfish"	2003	10	15	46	"2_shelf"	"1_Tex"	0	0	30.9	0	0	27.5425	-96.931
"large jellyfish"	2003	10	15	47	"2_shelf"	"1_Tex"	0	0	45.2	0	0	27.397	-96.8605
"large jellyfish"	2003	10	15	48	"2_shelf"	"1_Tex"	0	0	40.8	0	0	27.3095	-96.9495
"large jellyfish"	2003	10	16	49	"2_shelf"	"1_Tex"	1.93076089199185	0.660320225061214	29.1	19.2153185492813	56.1851419569628	27.601	-96.919
"large jellyfish"	2003	10	16	51	"2_shelf"	"1_Tex"	0	0	46	0	0	27.748	-96.548
"large jellyfish"	2003	10	16	52	"2_shelf"	"1_Tex"	0	0	31.5	0	0	27.81	-96.6725
"large jellyfish"	2003	10	16	53	"2_shelf"	"1_Tex"	0	0	25.4	0	0	27.8295	-96.766
"large jellyfish"	2003	10	16	54	"2_shelf"	"1_Tex"	0	0	86	0	0	27.605	-96.3705
"large jellyfish"	2003	10	16	56	"2_shelf"	"1_Tex"	0	0	91.3	0	0	27.7215	-95.928
"large jellyfish"	2003	10	17	57	"2_shelf"	"1_Tex"	0	0	36.4	0	0	28.0165	-96.2525
"large jellyfish"	2003	10	17	58	"2_shelf"	"1_Tex"	0	0	33	0	0	28.077	-96.234
"large jellyfish"	2003	10	17	59	"1_inshore"	"1_Tex"	0	0	12	0	0	28.155	-96.677
"large jellyfish"	2003	10	17	60	"2_shelf"	"1_Tex"	0	0	29.3	0	0	27.9685	-96.504
"large jellyfish"	2003	10	17	61	"2_shelf"	"1_Tex"	0	0	31.3	0	0	28.125	-96.124
"large jellyfish"	2003	10	17	62	"2_shelf"	"1_Tex"	0	0	29.6	0	0	28.146	-96.12
"large jellyfish"	2003	10	17	63	"2_shelf"	"1_Tex"	0	0	32.7	0	0	28.211	-95.8125
"large jellyfish"	2003	10	17	64	"2_shelf"	"1_Tex"	0	0	27.6	0	0	28.289	-95.7905
"large jellyfish"	2003	10	18	65	"2_shelf"	"1_Tex"	0	0	29.4	0	0	28.229	-95.903
"large jellyfish"	2003	10	18	66	"2_shelf"	"1_Tex"	0	0	45.2	0	0	28.19	-95.44
"large jellyfish"	2003	10	18	67	"2_shelf"	"1_Tex"	0	0	25	0	0	28.48	-95.6595
"large jellyfish"	2003	10	18	68	"2_shelf"	"1_Tex"	0	0	25.2	0	0	28.2955	-95.9165
"large jellyfish"	2003	10	18	69	"1_inshore"	"1_Tex"	0.933201097796062	0.319154775446253	14	4.46816685624754	13.0648153691449	28.621	-95.801
"large jellyfish"	2003	10	18	70	"1_inshore"	"1_Tex"	1.99971663813442	0.683903090241971	19.6	13.4045005687426	39.1944461074346	28.5255	-95.704
"large jellyfish"	2003	10	18	71	"1_inshore"	"1_Tex"	3.73280439118425	1.27661910178501	17	21.7025247303452	63.4576746501323	28.6095	-95.62
"large jellyfish"	2003	10	18	72	"1_inshore"	"1_Tex"	0	0	12	0	0	28.734	-95.585
"large jellyfish"	2003	10	19	73	"2_shelf"	"1_Tex"	0	0	27.6	0	0	28.6605	-95.102
"large jellyfish"	2003	10	19	74	"1_inshore"	"1_Tex"	1.86640219559212	0.638309550892507	17	10.8512623651726	31.728837325066	28.918	-95.201
"large jellyfish"	2003	10	19	75	"1_inshore"	"1_Tex"	0.99985831906721	0.341951545120986	13	4.44537008657282	12.9981581478737	28.7985	-95.402
"large jellyfish"	2003	10	19	76	"1_inshore"	"1_Tex"	0.999858319067209	0.341951545120986	15	5.12927317681479	14.9978747860081	28.7235	-95.51
"large jellyfish"	2003	10	19	78	"2_shelf"	"1_Tex"	0.933201097796062	0.319154775446253	36.4	11.6172338262436	33.9685199597767	28.296	-95.4205
"large jellyfish"	2003	10	19	79	"2_shelf"	"1_Tex"	0	0	58.9	0	0	27.988	-95.4785
"large jellyfish"	2003	10	19	81	"2_shelf"	"1_Tex"	0	0	73.3	0	0	27.94	-95.38
"large jellyfish"	2003	10	20	82	"2_shelf"	"1_Tex"	0	0	64	0	0	28.083	-94.837
"large jellyfish"	2003	10	20	83	"2_shelf"	"1_Tex"	0	0	40.2	0	0	28.324	-95.1015
"large jellyfish"	2003	10	20	84	"2_shelf"	"1_Tex"	0	0	45.5	0	0	28.2485	-95.2195
"large jellyfish"	2003	10	20	85	"2_shelf"	"1_Tex"	0	0	73.3	0	0	28.0165	-95.1595
"large jellyfish"	2003	10	20	86	"2_shelf"	"3_Fla"	0	0	35	0	0	NA	28.5215
"large jellyfish"	2003	10	21	87	"2_shelf"	"1_Tex"	0	0	35	0	0	28.5495	-94.613
"large jellyfish"	2003	10	21	88	"2_shelf"	"1_Tex"	0	0	33	0	0	28.612	-94.4715
"large jellyfish"	2003	10	21	89	"2_shelf"	"1_Tex"	0	0	26	0	0	28.7525	-94.585
"large jellyfish"	2003	10	21	90	"2_shelf"	"1_Tex"	0	0	22	0	0	28.809	-94.5825
"large jellyfish"	2003	10	21	91	"2_shelf"	"1_Tex"	0	0	23.8	0	0	28.875	-94.3775
"large jellyfish"	2003	10	21	92	"2_shelf"	"1_Tex"	0	0	38	0	0	28.5115	-94.3405
"large jellyfish"	2003	10	22	94	"2_shelf"	"1_Tex"	0	0	20.1	0	0	28.883	-94.764
"large jellyfish"	2003	10	22	95	"1_inshore"	"1_Tex"	0.965380445995926	0.330160112530607	18.3	6.04193005931011	17.6664621617254	29.0085	-94.9555
"large jellyfish"	2003	10	22	96	"1_inshore"	"1_Tex"	0	0	14.4	0	0	29.1535	-94.8745
"large jellyfish"	2003	10	24	97	"2_shelf"	"1_Tex"	0	0	47.5	0	0	28.3435	-94.3145
"large jellyfish"	2003	10	24	102	"2_shelf"	"1_Tex"	0	0	48.3	0	0	28.314	-94.357
"large jellyfish"	2003	10	24	106	"2_shelf"	"1_Tex"	0	0	82.5	0	0	27.986	-94.4855
"large jellyfish"	2003	10	24	107	"2_shelf"	"1_Tex"	0	0	109.7	0	0	27.8975	-94.1055
"large jellyfish"	2003	10	25	109	"2_shelf"	"1_Tex"	0	0	93.3	0	0	27.915	-94.171
"large jellyfish"	2003	10	25	110	"2_shelf"	"1_Tex"	0	0	90.9	0	0	27.9425	-94.067
"large jellyfish"	2003	10	25	111	"2_shelf"	"1_Tex"	0	0	82.3	0	0	28.0125	-94.305
"large jellyfish"	2003	10	25	112	"2_shelf"	"2_Lou"	0	0	34.9	0	0	28.5965	-93.8925
"large jellyfish"	2003	10	25	113	"2_shelf"	"1_Tex"	0	0	22.3	0	0	28.9225	-94.1335
"large jellyfish"	2003	10	25	114	"1_inshore"	"1_Tex"	0	0	18.3	0	0	28.9885	-94.1045
"large jellyfish"	2003	10	25	115	"2_shelf"	"2_Lou"	0	0	24.1	0	0	28.931	-93.878
"large jellyfish"	2003	10	26	116	"2_shelf"	"2_Lou"	0	0	21.8	0	0	28.9475	-93.932
"large jellyfish"	2003	10	26	117	"2_shelf"	"2_Lou"	0	0	31.1	0	0	28.6565	-93.716
"large jellyfish"	2003	10	26	118	"2_shelf"	"2_Lou"	0	0	24	0	0	28.831	-93.508
"large jellyfish"	2003	10	26	119	"2_shelf"	"2_Lou"	0	0	21	0	0	29.02	-93.829
"large jellyfish"	2003	10	26	121	"1_inshore"	"2_Lou"	2.79960329338819	0.95746432633876	18.1	17.3301043067316	50.6728196103262	29.137	-93.9315
"large jellyfish"	2003	10	26	124	"1_inshore"	"2_Lou"	0	0	17	0	0	29.3435	-93.432
"large jellyfish"	2003	10	27	125	"1_inshore"	"2_Lou"	8.68842401396334	2.97144101277546	15	44.5716151916319	130.32636020945	29.2685	-93.529
"large jellyfish"	2003	10	27	126	"1_inshore"	"2_Lou"	0	0	20	0	0	29.186	-93.393
"large jellyfish"	2003	10	27	128	"2_shelf"	"2_Lou"	0	0	33	0	0	28.66	-93.398
"large jellyfish"	2003	10	27	129	"2_shelf"	"2_Lou"	0	0	34	0	0	28.6505	-93.41
"large jellyfish"	2003	10	27	130	"2_shelf"	"2_Lou"	0	0	30.9	0	0	28.6725	-93.4075
"large jellyfish"	2003	10	27	132	"2_shelf"	"2_Lou"	0	0	50.8	0	0	28.4355	-93.393
"large jellyfish"	2003	10	27	133	"2_shelf"	"2_Lou"	0	0	40	0	0	28.523	-93.631
"large jellyfish"	2003	10	27	134	"2_shelf"	"2_Lou"	0	0	45.4	0	0	28.4965	-93.6915
"large jellyfish"	2003	10	28	135	"2_shelf"	"2_Lou"	0	0	67.7	0	0	28.199	-93.7225
"large jellyfish"	2003	10	28	139	"2_shelf"	"2_Lou"	0	0	57.6	0	0	28.3355	-93.527
"large jellyfish"	2003	10	28	144	"2_shelf"	"2_Lou"	0	0	92	0	0	28.0595	-93.403
"large jellyfish"	2003	10	28	145	"2_shelf"	"2_Lou"	0	0	82.1	0	0	28.1395	-93.2
"large jellyfish"	2003	10	29	147	"2_shelf"	"2_Lou"	0	0	105.3	0	0	28.041	-92.5175
"large jellyfish"	2003	10	29	149	"2_shelf"	"2_Lou"	0	0	95	0	0	28.112	-92.294
"large jellyfish"	2003	10	29	150	"2_shelf"	"2_Lou"	0	0	101.7	0	0	28.0755	-92.0675
"large jellyfish"	2003	10	29	152	"2_shelf"	"2_Lou"	0	0	82.7	0	0	28.1525	-92.534
"large jellyfish"	2003	10	29	154	"2_shelf"	"2_Lou"	0	0	67.1	0	0	28.243	-92.543
"large jellyfish"	2003	10	30	155	"2_shelf"	"2_Lou"	0.903097836576834	0.308859460109277	64	19.7670054469937	57.7982615409174	28.2765	-92.6485
"large jellyfish"	2003	10	30	158	"2_shelf"	"2_Lou"	0	0	39.5	0	0	28.592	-93.1005
"large jellyfish"	2003	10	30	159	"2_shelf"	"2_Lou"	0	0	26.3	0	0	28.9055	-93.178
"large jellyfish"	2003	10	30	160	"2_shelf"	"2_Lou"	0	0	21.9	0	0	29.142	-92.7945
"large jellyfish"	2003	10	30	161	"1_inshore"	"2_Lou"	0	0	12.6	0	0	29.4985	-92.718
"large jellyfish"	2003	10	30	162	"1_inshore"	"2_Lou"	0	0	11	0	0	29.58	-92.8695
"large jellyfish"	2003	10	31	163	"2_shelf"	"2_Lou"	0	0	20.3	0	0	29.1735	-92.95
"large jellyfish"	2003	10	31	164	"2_shelf"	"2_Lou"	0	0	25.1	0	0	28.913	-92.904
"large jellyfish"	2003	10	31	165	"2_shelf"	"2_Lou"	0	0	36.2	0	0	28.656	-92.8355
"large jellyfish"	2003	10	31	166	"2_shelf"	"2_Lou"	0	0	54	0	0	28.5145	-92.4335
"large jellyfish"	2003	10	31	168	"2_shelf"	"2_Lou"	0	0	45.7	0	0	28.557	-92.3885
"large jellyfish"	2003	10	31	169	"2_shelf"	"2_Lou"	0	0	29	0	0	28.9005	-92.415
"large jellyfish"	2003	10	31	170	"2_shelf"	"2_Lou"	0	0	27.4	0	0	28.937	-92.422
"large jellyfish"	2003	10	31	171	"1_inshore"	"2_Lou"	0	0	14.1	0	0	29.125	-92.199
"large jellyfish"	2003	11	1	172	"1_inshore"	"2_Lou"	0	0	13	0	0	29.138	-92.1075
"large jellyfish"	2003	11	1	173	"1_inshore"	"2_Lou"	0	0	12	0	0	29.151	-92.261
"large jellyfish"	2003	11	1	174	"1_inshore"	"2_Lou"	0	0	17	0	0	29.1705	-92.412
"large jellyfish"	2003	11	1	175	"2_shelf"	"2_Lou"	0	0	29.3	0	0	28.9265	-92.511
"large jellyfish"	2003	11	1	176	"2_shelf"	"2_Lou"	0	0	34.2	0	0	28.786	-92.471
"large jellyfish"	2003	11	1	177	"2_shelf"	"2_Lou"	0	0	27.8	0	0	28.91	-92.2445
"large jellyfish"	2003	11	1	178	"2_shelf"	"2_Lou"	0	0	36	0	0	28.75	-92.2735
"large jellyfish"	2003	11	1	180	"2_shelf"	"2_Lou"	0	0	31.5	0	0	28.73	-91.831
"large jellyfish"	2003	11	1	181	"2_shelf"	"2_Lou"	0	0	34.9	0	0	28.651	-91.7045
"large jellyfish"	2003	11	2	182	"2_shelf"	"2_Lou"	0	0	40	0	0	28.543	-91.4095
"large jellyfish"	2003	11	2	183	"2_shelf"	"2_Lou"	0	0	62	0	0	28.336	-91.151
"large jellyfish"	2003	11	2	184	"2_shelf"	"2_Lou"	0.99985831906721	0.341951545120986	82.3	28.1426121634571	82.2883396592314	28.226	-91.018
"large jellyfish"	2003	11	2	186	"2_shelf"	"2_Lou"	0	0	112	0	0	28.1055	-91.1075
"large jellyfish"	2003	11	2	187	"2_shelf"	"2_Lou"	0	0	91.8	0	0	28.1855	-91.4375
"large jellyfish"	2003	11	2	189	"2_shelf"	"2_Lou"	0	0	112	0	0	28.115	-91.3955
"large jellyfish"	2003	11	2	190	"2_shelf"	"2_Lou"	0	0	55	0	0	28.4345	-91.4195
"large jellyfish"	2003	11	3	191	"2_shelf"	"2_Lou"	0	0	33.5	0	0	28.537	-91.14
"large jellyfish"	2003	11	3	192	"2_shelf"	"2_Lou"	0	0	24	0	0	28.601	-91.0565
"large jellyfish"	2003	11	3	193	"2_shelf"	"2_Lou"	0	0	25.6	0	0	28.648	-91.2855
"large jellyfish"	2003	11	3	194	"1_inshore"	"2_Lou"	0	0	11	0	0	28.892	-91.3255
"large jellyfish"	2003	11	3	196	"1_inshore"	"2_Lou"	0	0	18.1	0	0	28.9755	-91.767
"large jellyfish"	2003	11	3	197	"1_inshore"	"2_Lou"	0	0	15	0	0	28.993	-91.654
"large jellyfish"	2003	11	3	198	"1_inshore"	"2_Lou"	0	0	12	0	0	28.79	-91.1885
"large jellyfish"	2003	11	3	199	"2_shelf"	"2_Lou"	0	0	20.3	0	0	28.688	-91.248
"large jellyfish"	2003	11	3	200	"2_shelf"	"2_Lou"	0	0	64	0	0	28.338	-91.117
"large jellyfish"	2003	11	4	201	"2_shelf"	"2_Lou"	0	0	73.3	0	0	28.261	-90.892
"large jellyfish"	2003	11	4	202	"2_shelf"	"2_Lou"	0	0	45	0	0	28.3985	-90.725
"large jellyfish"	2003	11	4	203	"2_shelf"	"2_Lou"	0	0	35	0	0	28.4945	-90.927
"large jellyfish"	2003	11	4	204	"2_shelf"	"2_Lou"	0	0	29.6	0	0	28.5515	-91.03
"large jellyfish"	2003	11	4	205	"2_shelf"	"2_Lou"	0	0	21	0	0	28.617	-90.9345
"large jellyfish"	2003	11	4	206	"1_inshore"	"2_Lou"	0	0	18.1	0	0	28.647	-90.8605
"large jellyfish"	2003	11	4	207	"1_inshore"	"2_Lou"	0	0	16.5	0	0	28.6755	-91.0665
"large jellyfish"	2003	11	4	208	"2_shelf"	"2_Lou"	0	0	24	0	0	28.6065	-91.094
"large jellyfish"	2003	11	4	209	"2_shelf"	"2_Lou"	0	0	33.1	0	0	28.5065	-90.7955
"large jellyfish"	2003	11	4	210	"2_shelf"	"2_Lou"	0	0	38	0	0	28.4715	-90.7875
"large jellyfish"	2003	11	4	211	"2_shelf"	"2_Lou"	0	0	40.1	0	0	28.446	-90.7445
"large jellyfish"	2003	11	5	212	"2_shelf"	"2_Lou"	0	0	22	0	0	28.643	-90.479
"large jellyfish"	2003	11	5	213	"1_inshore"	"2_Lou"	0	0	16	0	0	28.889	-90.653
"large jellyfish"	2003	11	5	214	"1_inshore"	"2_Lou"	0	0	17	0	0	28.882	-90.642
"large jellyfish"	2003	11	5	215	"1_inshore"	"2_Lou"	0	0	12.6	0	0	28.984	-90.4475
"large jellyfish"	2003	11	5	216	"1_inshore"	"2_Lou"	8.39880988016456	2.87239297901628	14	40.2135017062279	117.583338322304	29.1175	-90.0675
"large jellyfish"	2003	11	5	217	"2_shelf"	"2_Lou"	0	0	29	0	0	28.771	-90.2515
"large jellyfish"	2003	11	5	218	"2_shelf"	"2_Lou"	0	0	45	0	0	28.7325	-90.0785
"large jellyfish"	2003	11	5	219	"2_shelf"	"2_Lou"	0	0	74.2	0	0	28.769	-89.823
"large jellyfish"	2003	11	6	220	"2_shelf"	"2_Lou"	0	0	136	0	0	28.6835	-89.994
"large jellyfish"	2003	11	6	221	"2_shelf"	"2_Lou"	0	0	32	0	0	28.754	-90.2395
"large jellyfish"	2003	11	6	222	"2_shelf"	"2_Lou"	0	0	28.2	0	0	29.054	-89.885
"large jellyfish"	2003	11	6	223	"2_shelf"	"2_Lou"	1.99971663813442	0.683903090241971	29.3	20.0383605440898	58.5916974973385	29.042	-89.875
"large jellyfish"	2003	11	6	224	"2_shelf"	"2_Lou"	0	0	26	0	0	29.1015	-89.803
"large jellyfish"	2003	11	6	225	"2_shelf"	"2_Lou"	0	0	22.1	0	0	29.1275	-89.8255
"large jellyfish"	2003	11	6	226	"2_shelf"	"2_Lou"	0	0	79.9	0	0	28.812	-89.6225
"large jellyfish"	2003	11	6	229	"2_shelf"	"2_Lou"	0	0	44	0	0	28.976	-89.559
"large jellyfish"	2003	11	7	230	"2_shelf"	"2_Lou"	0	0	55.4	0	0	28.9605	-89.5935
"large jellyfish"	2003	11	12	231	"1_inshore"	"2_Lou"	0	0	12.8	0	0	30.1765	-88.492
"large jellyfish"	2003	11	13	232	"2_shelf"	"2_Lou"	1.03689010866229	0.354616417162504	30	10.6384925148751	31.1067032598687	30.0125	-88.4345
"large jellyfish"	2003	11	13	233	"1_inshore"	"2_Lou"	0	0	18.1	0	0	30.096	-88.408
"large jellyfish"	2003	11	13	234	"1_inshore"	"3_Fla"	0.965380445995926	0.330160112530607	15.7	5.18351376673053	15.156473002136	30.1425	-87.987
"large jellyfish"	2003	11	13	235	"1_inshore"	"2_Lou"	0	0	18.3	0	0	30.147	-88.2305
"large jellyfish"	2003	11	13	236	"2_shelf"	"2_Lou"	0	0	22.3	0	0	30.041	-88.318
"large jellyfish"	2003	11	13	237	"1_inshore"	"2_Lou"	0	0	14.4	0	0	30.153	-88.642
"large jellyfish"	2003	11	13	238	"1_inshore"	"2_Lou"	0	0	16.1	0	0	30.139	-88.683
"large jellyfish"	2003	11	13	239	"1_inshore"	"2_Lou"	0	0	14.3	0	0	29.9005	-88.7495
"large jellyfish"	2003	11	14	240	"2_shelf"	"2_Lou"	0	0	29.3	0	0	29.985	-88.4585
"large jellyfish"	2003	11	14	242	"1_inshore"	"2_Lou"	0	0	19.6	0	0	29.9725	-88.669
"large jellyfish"	2003	11	14	243	"2_shelf"	"2_Lou"	0	0	28	0	0	29.9085	-88.542
"large jellyfish"	2003	11	14	244	"2_shelf"	"2_Lou"	0	0	30.5	0	0	29.9615	-88.418
"large jellyfish"	2003	11	14	245	"2_shelf"	"2_Lou"	0	0	29.1	0	0	29.988	-88.2235
"large jellyfish"	2003	11	14	246	"2_shelf"	"2_Lou"	0	0	26	0	0	30.01	-88.154
"large jellyfish"	2003	11	14	247	"2_shelf"	"2_Lou"	0.999858319067209	0.341951545120986	33.3	11.3869864525288	33.2952820249381	29.9105	-88.087
"large jellyfish"	2003	11	15	249	"2_shelf"	"2_Lou"	0	0	73	0	0	29.425	-88.045
"large jellyfish"	2003	11	15	250	"2_shelf"	"2_Lou"	0	0	64	0	0	29.426	-88.0455
"large jellyfish"	2003	11	15	251	"2_shelf"	"2_Lou"	0	0	109.9	0	0	29.32	-88.0715
"large jellyfish"	2003	11	15	252	"2_shelf"	"2_Lou"	0	0	99	0	0	29.2525	-88.4815
"large jellyfish"	2003	11	15	253	"2_shelf"	"2_Lou"	0	0	82.3	0	0	29.279	-88.359
"large jellyfish"	2003	11	16	254	"2_shelf"	"2_Lou"	0	0	104	0	0	29.252	-88.4805
"large jellyfish"	2003	11	16	255	"2_shelf"	"2_Lou"	0	0	72.8	0	0	29.2715	-88.5465
"large jellyfish"	2003	11	16	256	"2_shelf"	"2_Lou"	0	0	159	0	0	29.0865	-88.768
"large jellyfish"	2003	11	16	257	"2_shelf"	"2_Lou"	0	0	73.7	0	0	29.082	-88.922
"large jellyfish"	2003	11	16	258	"2_shelf"	"2_Lou"	0	0	51.2	0	0	29.1005	-88.9505
"large jellyfish"	2003	11	16	259	"2_shelf"	"2_Lou"	0	0	54	0	0	29.131	-88.9245
"large jellyfish"	2003	11	16	260	"2_shelf"	"2_Lou"	0	0	80.7	0	0	29.14	-88.84
"large jellyfish"	2003	11	16	261	"2_shelf"	"2_Lou"	0	0	24.7	0	0	29.3655	-88.8855
"large jellyfish"	2003	11	16	262	"2_shelf"	"2_Lou"	0	0	45.9	0	0	29.325	-88.841
"large jellyfish"	2003	11	17	263	"2_shelf"	"2_Lou"	0	0	34.7	0	0	29.3635	-88.8275
"large jellyfish"	2003	11	17	264	"2_shelf"	"2_Lou"	0	0	40.4	0	0	29.39	-88.769
"large jellyfish"	2003	11	17	265	"1_inshore"	"2_Lou"	0	0	19.9	0	0	29.461	-88.784
"large jellyfish"	2003	11	17	266	"2_shelf"	"2_Lou"	0	0	37.5	0	0	29.488	-88.643
"large jellyfish"	2003	11	17	267	"2_shelf"	"2_Lou"	0	0	50.1	0	0	29.534	-88.506
"large jellyfish"	2003	11	17	270	"2_shelf"	"2_Lou"	0	0	27	0	0	29.609	-88.5925
"large jellyfish"	2003	11	17	271	"2_shelf"	"2_Lou"	0	0	33.8	0	0	29.5345	-88.6075
"large jellyfish"	2003	11	17	272	"2_shelf"	"2_Lou"	0	0	54.9	0	0	29.374	-88.7085
"large jellyfish"	2003	11	17	273	"2_shelf"	"2_Lou"	0	0	38.8	0	0	29.401	-88.7575
"large jellyfish"	2003	11	17	274	"1_inshore"	"2_Lou"	0	0	13	0	0	29.6935	-88.808
"large jellyfish"	2003	11	17	275	"1_inshore"	"2_Lou"	0	0	13	0	0	29.7555	-88.7805
"large jellyfish"	2003	11	18	276	"2_shelf"	"2_Lou"	0	0	21.6	0	0	29.773	-88.6345
"large jellyfish"	2003	11	18	277	"2_shelf"	"2_Lou"	0	0	24	0	0	29.7835	-88.618
"large jellyfish"	2003	11	18	278	"2_shelf"	"2_Lou"	0	0	30.5	0	0	29.754	-88.541
"large jellyfish"	2003	11	18	279	"2_shelf"	"2_Lou"	0	0	60.9	0	0	29.7835	-88.4875
"large jellyfish"	1996	10	28	380	"2_shelf"	"2_Lou"	0	0	20.5	0	0	30.1265	-88.2705
"large jellyfish"	1996	10	28	381	"1_inshore"	"2_Lou"	0	0	19	0	0	30.143	-88.321
"large jellyfish"	1996	10	28	382	"1_inshore"	"2_Lou"	0.0108511755557682	0.00414514906230344	11.2	0.0464256694977985	0.121533166224604	30.1835	-88.384
"large jellyfish"	1996	10	30	383	"1_inshore"	"2_Lou"	0	0	9.1	0	0	30.2205	-88.2665
"large jellyfish"	1996	10	30	384	"1_inshore"	"2_Lou"	0	0	6	0	0	30.1945	-88.329
"large jellyfish"	1996	10	30	385	"2_shelf"	"2_Lou"	0	0	25.8	0	0	30.0175	-88.434
"large jellyfish"	1996	10	30	386	"2_shelf"	"2_Lou"	0	0	23	0	0	30.0505	-88.2335
"large jellyfish"	1999	6	7	387	"1_inshore"	"2_Lou"	0	0	5	0	0	29.6415	-93.8925
"large jellyfish"	1999	6	7	388	"1_inshore"	"2_Lou"	0	0	11	0	0	29.5935	-93.7285
